CTAS,GOOG,HAS,HOLX,IDXX,JBHT,KLAC,LILA,LILAK,SHPG
125.19,814.755,98.49,42.46,152.87,91.18,95.77,21.945,22.7458,177.6
,814.6699999999998,98.5208,42.5,152.79,91.09,95.75,21.92,22.74,177.6
125.23,815.14,98.475,42.47,152.88,91.06,95.75,21.9,,177.57
125.45,816.64,98.565,42.55,153.1535,91.24,95.89,21.85,,177.97999999999996
125.48,817.5,98.6603,42.55,153.25,91.15,,21.84,22.72,177.9
125.45,817.02,98.7,42.55,153.17,91.28,95.83,21.84,,178.0
125.52,816.9774999999998,98.61000000000003,42.52,153.1,91.13,95.81,21.85,22.72,177.58
125.38,817.02,98.62,42.51,153.0066,91.14,95.67,21.879,22.74,177.66
125.46,817.4099999999999,98.54,42.51,153.09,91.09,95.7,21.82,22.74,177.56
125.65,817.21,98.6,42.52,152.995,91.16,95.66,21.8,22.71,177.44999999999996
,816.76,98.6,42.57,153.07,91.2,95.69,21.85,22.73,177.44999999999996
125.64,817.2093999999998,98.635,42.575,,91.29,95.67,21.86,22.74,177.4
125.72,817.2999999999998,98.7,42.565,153.05,91.34,95.71,21.852,22.745,177.47
,817.0499999999998,98.77,42.55,153.11,91.36000000000001,95.52,21.89,22.82,177.5
125.62,816.4199999999998,98.59,42.51,153.0,91.22,95.5,21.9,22.83,177.22999999999996
125.58,816.445,98.605,42.515,153.04,91.19,95.57,,22.82,177.22
,816.4887999999999,98.605,42.5125,152.91,91.3,,21.93,22.78,177.05
125.58,816.49,98.58,42.5,152.82,91.275,95.5462,21.92,22.78,177.03
125.6,816.2,98.564,42.5,152.97999999999996,91.295,95.58,21.92,22.795,177.08
125.56,815.69,98.58,42.525,152.94,91.41,95.61000000000003,21.88,,176.94999999999996
125.46,815.21,98.57,42.52,152.71,91.41,95.515,,22.74,176.94999999999996
,815.13,98.635,42.51,152.62,91.31,95.41,21.85,22.72,176.885
125.28,814.99,98.61000000000003,42.51,,91.33,95.38,,,177.03
125.41,815.22,98.72,42.505,152.68,91.36000000000001,95.39,21.8,,177.07
125.39,815.0399999999998,98.69,42.5,152.84,91.45,95.42,21.81,22.71,177.16
125.44,814.24,98.7,42.5,152.665,91.43,95.38,,22.72,177.04
,814.56,98.7468,42.5,152.51,91.46,95.35,21.875,22.74,177.1
125.39,814.93,98.72,42.51,152.57,91.55,95.39,21.875,22.745,176.875
125.53,815.4247,98.67,42.51,,91.65,95.45,,22.745,177.04
,815.32,98.69,42.51,152.425,91.64,95.44,21.87,,177.0
125.515,815.3821,98.72,42.495,152.43,91.72,95.46,21.85,22.745,177.05
125.51,815.27,98.73,42.5,152.5966,91.66,95.44,,22.745,177.19999999999996
125.4,815.32,98.63,42.46,152.74,91.785,95.37,21.85,22.76,177.15
125.33,815.49,98.54,42.42,152.57,91.85,95.33,21.86,22.745,177.06
,815.8675,98.61000000000003,42.41,152.61,92.07,95.36000000000003,21.84,22.74,177.07
125.2552,815.815,98.57,42.4,152.5,91.95,95.35,21.82,22.7,177.01
125.26,816.2999999999998,98.56,42.3641,152.6,91.95,95.365,21.75,22.66,176.995
125.32,816.14,98.6,42.37,152.675,91.955,,21.77,22.66,177.09
125.41,817.0499999999998,98.66,42.36,152.69,91.93,95.36000000000003,,22.655,177.09400000000002
125.64,816.43,98.6,42.36,152.53,91.81,95.35,21.79,22.68,177.04
125.79,816.46,98.67,42.37,152.69999999999996,91.83,95.37,,22.66,177.06
,817.19,98.705,42.38,152.71,91.85,95.36000000000003,,22.66,177.15
125.74,817.2,98.69,42.38,152.75,91.9,,21.79,22.615,177.16
125.78,817.58,98.57,42.41,,91.84,95.41,21.76,22.645,177.28
125.88,817.81,98.53,42.41,152.69999999999996,91.9,95.41,21.78,22.63,177.39
125.86000000000003,817.72,98.58,42.435,152.68,91.92,95.4,21.76,22.61,177.33
125.79,817.6499999999999,98.61000000000003,42.43,152.62,91.98,95.48,,22.6,177.435
125.8089,817.4149999999998,98.64,42.42,152.55,92.02,95.52,,,177.42
,817.5843999999998,98.58,42.41,152.54,92.08,95.53,,22.595,177.38
125.88,817.25,98.6,42.425,152.53,92.09,95.56,21.75,22.6,177.5
125.73,816.36,98.535,42.415,152.64,92.12,95.52,21.73,22.6,177.39
125.73,816.2853,98.53,42.41,152.59,92.13,95.54,21.73,22.605,177.4
125.76,816.68,98.55,42.4,152.53,92.17,95.54,,22.605,177.5
,816.36,98.57,42.39,152.53,92.185,95.47,,22.58,177.47
125.89,817.1599999999999,98.6,42.39,152.5187,92.25,95.46,21.72,22.585,177.52
,817.08,98.56,42.39,152.49,92.22,95.46,,22.55,177.43
125.74,816.305,98.46,42.36,152.44,92.33,95.45,,22.56,177.51
125.68,816.0601,98.45,42.36,152.39,92.29,95.4503,,22.545,177.43
125.64,816.27,98.54,42.37,152.4,92.34,95.455,,22.54,177.47999999999996
125.74,817.0,98.67,42.37,152.51,92.49100000000003,95.47,21.75,22.56,177.64
,816.69,98.67,42.37,152.6,92.55,,21.74,,177.59
125.78,817.435,98.73,42.39,152.67,92.64,95.51,21.76,22.6,177.8
125.77,817.595,98.84,42.38,152.66,92.82,,21.76,,177.77
,817.505,98.885,42.39,152.62,92.95,95.52,21.77,22.58,177.76
125.755,817.76,98.83,42.3875,,92.81,95.55,,,177.76
125.92,818.9199999999998,98.94,42.41,152.69999999999996,92.79,95.58,21.76,22.6,177.88
,818.52,98.95,42.41,152.6745,92.74,95.56,21.815,22.68,177.8
125.9,819.355,99.03,42.42,152.69,92.7,95.57,,22.69,177.8
125.95,819.48,98.99,42.42,152.77,92.66,,21.82,22.68,177.725
,819.08,99.07,42.43,152.76,92.6,95.655,21.82,,177.85
126.03,819.82,99.16,42.44,152.76,92.61000000000003,95.69,21.83,22.71,178.02
,819.52,99.1,42.45,,92.64,95.68,21.825,22.7,177.94
125.92,819.18,99.07,42.45,152.765,92.55,95.675,21.825,22.72,177.74
125.99,819.0299999999999,98.95,42.464,152.69999999999996,92.57,95.68,21.83,22.725,177.66
125.97,818.99,99.01,42.495,152.775,92.7,95.7,,,177.6276
125.98,818.93,99.035,42.49,152.66,,95.705,21.84,22.75,177.64
125.99,819.22,99.06,42.48,152.75,92.695,95.74,,22.75,177.5
125.95,819.07,99.02,42.46,152.71,92.83,95.69,21.86,22.76,177.49
125.95,818.5499999999998,99.07,42.45,152.7099,92.86000000000003,95.68,21.89,22.79,
125.91,818.5499999999998,99.16,42.45,152.69999999999996,92.84,95.67,,22.78,177.41
,818.2899999999998,99.23,42.45,152.71,92.73,95.685,21.88,22.73,177.35
125.84,818.4584,99.18,42.45,152.7559,92.69,95.68,,22.74,177.38
125.8,818.69,99.18,42.44,152.76,92.65,95.71,21.89,22.76,177.3
,818.5399999999998,99.18,42.44,152.89,92.61000000000003,,21.89,22.75,177.46
125.79,818.505,99.17,,152.94,92.64,95.71,21.8975,22.7553,177.53
125.78,818.215,99.18,42.44,152.99,92.77,95.68,21.89,22.74,177.53
125.74,818.5041999999999,99.205,42.43,152.97,92.78,95.68,,,177.68
,818.25,99.24,42.43,152.97999999999996,92.79,95.68,21.89,,177.71
,818.1499999999999,99.23500000000003,42.43,,92.73500000000003,95.68,21.89,22.77,177.665
125.84,818.5,99.21,42.43,152.89,92.73,95.7,21.9,22.8,177.59
125.84,818.5499999999998,99.21,42.43,152.945,92.75,95.68,,22.795,177.57
,818.7799999999999,99.21,42.46,152.99,92.73,95.71,,22.79,177.47999999999996
125.88,818.32,99.18,42.46,152.94999999999996,92.745,95.6963,21.93,22.84,177.44
,818.64,99.21,,152.94999999999996,92.725,95.7,21.93,22.86,177.47
125.93,818.7999999999998,99.205,42.47,152.985,92.7,95.725,21.96,22.88,177.69
125.93,818.8214,99.205,42.46,153.0,92.685,95.72,21.99,22.89,177.63
125.9,818.5592,99.24,42.46,152.88,92.6525,95.66,21.96,22.85,
125.85,818.58,99.26,42.46,152.84,92.58,95.7,,22.86,177.696
125.87,818.85,99.23,42.45,152.79,92.535,95.64,,,177.87
125.81,818.85,99.2101,42.47,152.84,92.58,95.62,,22.87,
,818.7999999999998,99.21,42.47,,92.73,95.665,,,
125.82,818.878,99.22,42.46,152.8,92.73,95.68,21.9541,22.88,177.72
,818.745,99.23500000000003,42.45,152.9,92.77,,21.95,22.87,177.65
125.82,818.62,99.245,42.43,152.8435,92.67,95.74,21.97,22.87,177.69
,818.4199999999998,99.23,42.42,152.82499999999996,92.65,,21.955,22.86,177.61
,818.39,99.21,42.42,152.88,92.46,,,22.86,177.58
125.9,818.59,99.24,42.44,152.9,92.52,95.78,21.98,22.88,177.65
125.85,818.51,99.27,42.46,152.9,92.51,95.8006,21.95,22.87,177.71
,818.38,99.32,42.45,152.93,92.51,95.77,,22.865,177.7213
125.84,818.7949999999998,99.35,42.49,152.99,92.58,95.78,22.01,22.93,177.81
125.85,818.96,99.4,42.5,153.33,92.63,95.8557,22.07,22.95,177.68
125.79150000000003,819.19,99.375,42.53,153.37,,95.87,22.06,22.96,177.63
125.85,819.47,99.45,42.54,153.35,92.7,95.87,22.05,22.97,177.64
,819.5299999999999,99.43,42.535,153.32,92.63,,22.07,22.97,177.61
125.85,819.33,99.43,42.5299,153.384,92.58,95.83,22.05,22.96,177.55
125.85,819.45,99.4501,42.53,,92.61000000000003,95.84,,,177.54
125.815,819.45,99.45,42.52,153.43,92.55,95.845,22.055,22.965,
125.8,819.2999999999998,,42.5052,153.4299,92.45,95.835,22.04,,
125.75,819.32,99.41,42.51,,92.45,,22.055,22.95,177.59
125.73,819.25,99.42,42.5,153.39,92.41,95.8,22.05,22.97,177.47999999999996
125.61000000000003,819.33,99.45,42.5,153.31,92.45,95.81,,22.975,177.5
125.665,819.61,99.46,42.5,153.42,92.34,95.8001,22.05,22.97,177.43
125.63,819.58,99.44,42.5,153.41,92.37,95.84,22.03,22.935,177.32
,819.8999999999999,,42.505,153.3565,92.33,95.82,22.01,22.935,177.35
125.66,820.0,99.49,42.51,153.42,92.36000000000003,,22.09,23.01,177.4
125.63,819.9794,,42.5,153.405,,95.83,22.09,23.01,177.36
125.49,819.8999999999999,,42.48,153.335,92.27,95.81,22.08,23.015,177.29
125.59,820.07,99.45,42.47,153.37,92.33,95.83,22.11,23.03,177.44
125.61000000000003,819.88,99.446,42.47,153.41,92.26,95.82,22.11,23.015,177.4196
125.56,819.73,99.458,42.45,153.405,92.22,95.82,,,177.37
,819.7899999999998,99.442,42.45,,92.23500000000003,95.83,,23.0,177.33
125.55,819.81,99.44,42.45,153.405,92.21,95.81,22.08,23.02,
125.56,819.805,99.47,42.44,,92.12,95.8,22.08,22.995,177.08
125.49,820.2999999999998,99.48,42.45,153.405,92.16,95.815,22.06,22.98,
,820.4989999999999,99.5,42.445,153.26,92.18,95.8,22.07,22.96,177.03
,820.44,99.5,,153.315,92.215,95.81,22.06,22.95,177.07
,820.48,99.51,42.44,153.275,92.259,95.86000000000003,22.01,22.9,176.97999999999996
125.46,820.0299999999999,99.475,42.41,153.235,92.16,95.78,22.01,22.84,176.83
125.45,819.85,99.48,42.4,,,95.79,21.97,22.83,
125.475,820.26,,42.395,,92.09,95.81,21.94,22.81,176.795
125.56,820.1335,99.51,42.4,,92.12,95.82,21.92,22.76,
125.56,820.1103,99.55,42.395,153.375,92.09,95.81,21.87,22.77,176.79
,819.93,99.53,42.39,153.3997,92.09,95.8212,21.88,22.74,176.9
,820.13,99.53,42.37,153.38,92.13,95.79,21.89,22.72,176.74
,820.11,99.525,42.35,,,95.7722,,22.71,176.81
125.55,820.0249999999999,99.53,42.35,153.275,92.04,,21.87,22.71,
125.55,820.32,99.53,42.35,153.34,92.0656,,21.88,22.72,176.74
125.6,820.25,99.535,42.38,,92.12,95.84,21.9,22.74,176.795
125.65,820.13,99.52,42.37,153.32,92.12,95.84,21.97,22.8,176.81
,819.96,99.5762,42.37,153.26,92.13,95.81,21.95,22.77,176.78
,819.9199999999998,99.585,42.38,,92.15,,21.98,22.79,176.86
125.65,819.975,99.58,42.37,153.37,92.13,,22.0,22.79,176.7371
,820.18,99.56,42.37,,92.21,95.81,21.99,22.77,176.69999999999996
125.66,820.395,,42.36,153.33,92.17,95.83,22.0,22.79,176.645
,820.3125,99.55,42.37,,,,21.99,22.76,176.6
125.63,820.1599999999999,99.55,42.37,153.32,92.135,95.79,21.99,22.79,176.68
125.64,820.61,99.54,42.37,,92.2,95.7999,21.99,,176.65
125.65,820.745,99.55,42.36,153.285,92.22,95.79,21.99,,176.6971
125.6506,820.5399999999998,99.57,42.34,153.31,92.16,95.78,21.95,22.75,176.84799999999998
,820.4199999999998,99.59,42.3399,,,95.76,21.98,,
125.61000000000003,820.56,99.56,42.33,153.275,92.16,95.75,21.92,22.74,176.67
125.61000000000003,820.555,99.54,42.32,153.275,92.15,95.75,21.92,,176.69999999999996
,820.5449999999998,99.56,42.32,153.28,92.06,95.77,21.96,,176.645
,820.6,99.55,42.32,,92.08,95.78680000000003,21.935,22.77,176.635
125.61000000000003,820.7,99.61000000000003,42.35,,,95.79,21.93,22.74,176.74
,820.49,99.5714,42.33,153.38,92.02,95.8099,21.94,22.79,176.6748
125.64,820.51,99.56,42.33,,92.02,,21.94,22.79,176.6801
125.63,820.7,99.57,42.33,,91.94,95.81,21.95,22.79,176.68
125.65,820.895,99.61000000000003,42.32,153.38,91.96,95.81,21.96,,176.68
125.68,820.865,99.59,42.3,153.38,91.97,95.79,21.96,22.81,176.68
125.69,820.58,99.59,42.31,153.37,92.03,95.82,21.98,22.83,176.66
125.69,820.74,99.61000000000003,42.31,153.315,,95.82,21.98,22.84,176.75
125.69,820.84,99.6,42.301,153.3,91.99,95.82,,22.86,176.75
125.68,820.825,99.64,42.31,,91.95,95.82,22.01,22.87,176.97
,820.7899999999998,99.62,42.31,153.28,,95.81,22.03,,
125.72,821.2999999999998,99.62,42.32,153.39,92.02,95.85,22.02,22.89,176.87
125.73,821.18,99.6068,42.315,153.38,92.02,95.86000000000003,,22.88,176.96
125.72,821.1250999999999,,42.31,153.34,92.06,,22.03,22.9,176.97
,821.25,99.61000000000003,42.3,153.39,92.03,95.8201,22.01,22.86,
125.7,821.445,99.62,42.29,153.345,92.1,95.82,22.03,,176.88
125.76,821.52,99.65,42.305,153.3799,,95.85,,22.85,177.02
,821.68,,42.3,,92.18,95.865,22.02,,
125.75,821.51,99.7,42.3,153.35499999999996,92.14,95.86000000000003,,,
125.77,821.375,99.7,42.32,153.35499999999996,92.11000000000001,95.835,22.01,22.83,
125.81,821.39,99.71,42.34,153.34,92.1,95.83,21.99,,176.93
125.82,821.4199999999998,99.73,42.35,153.3275,92.21,95.84,22.0,22.79,176.92
125.81,821.5449999999998,99.7,42.37,153.2201,,,22.01,22.86,
,821.27,99.67,42.38,153.29,,95.82,22.0,22.83,176.77
125.81,,,42.36,,,,22.0,,
,,99.7,42.35,153.33,92.14,,21.97,22.8,176.87
,821.171,99.74,42.35,153.285,,95.82,21.93,22.79,176.97
125.85,821.6984,99.76,42.36,153.32499999999996,92.18,95.84,21.96,22.81,177.03
,821.57,99.77,42.36,,92.22,,21.971,22.8,
125.83,821.47,99.71,42.36,153.39,92.18,,21.95,,
125.79,821.715,99.71,42.37,153.39,92.16,,21.93,22.76,177.0825
125.83,821.7799999999999,99.71,42.38,153.365,92.13,95.79,21.86,22.73,
125.83,821.76,99.77,42.39,153.42,92.14,95.86000000000003,21.89,22.75,
125.84,821.928,99.78,42.38,153.46,92.12,95.89,,,177.16
,821.89,99.79,42.38,153.44999999999996,92.15,95.87,21.89,22.76,177.16
125.82,822.24,99.795,42.39,153.585,,95.91,21.89,,177.15
125.88,821.99,99.81,42.42,153.565,92.11000000000001,,,,177.085
,822.0499999999998,99.79,42.43,153.55,,95.89,,,177.13
125.88,822.0,99.79,42.41,153.47,92.11000000000001,95.84,21.92,,177.04
,822.19,99.765,42.42,153.47999999999996,92.05,95.84,21.91,22.75,
125.84,822.26,,42.4,153.35,92.06,95.81,21.91,22.74,177.01
125.86000000000003,822.39,99.78,42.4,153.51,92.07,,21.9,22.73,
125.91,822.48,99.7496,42.41,153.41,92.13,95.82,21.91,,177.09
125.95,822.49,,42.4,153.43,92.115,95.84,21.91,,177.0816
125.93,822.435,,42.38,153.44,92.07,95.83,21.91,22.73,176.99
125.93,822.515,,42.38,153.44,92.105,95.79,21.915,22.74,176.945
,822.52,99.71,42.38,153.445,92.1,95.79,21.915,,176.94
125.93,822.2999999999998,99.72,42.38,153.515,92.04,95.8,,,
,822.21,99.7,42.36,153.395,92.07,95.79,21.91,22.75,176.945
125.88,822.3999999999999,99.63,42.365,153.345,92.06,95.76,,22.74,176.84
125.85,822.4199999999998,99.65,,,92.13,,,22.73,176.835
125.85,822.6599999999999,99.68,42.36,153.38,92.18,95.77,,,176.82499999999996
125.86000000000003,822.85,99.66,42.37,153.39,92.31,95.79,21.91,22.76,176.88
,823.07,,42.35,,92.29,,21.905,,176.83
125.85,822.8903,99.6,42.34,153.3449,92.3,95.79,21.84,22.725,176.8325
125.8,823.225,99.61000000000003,42.34,,92.34,95.79,21.84,22.74,176.835
125.93,823.6549999999999,99.67,42.37,153.41,92.4099,95.84,21.85,22.73,176.94999999999996
125.95,823.94,99.64,42.38,153.47,92.37,95.83,21.83,22.7,176.92
125.96,824.1,99.64,42.37,,92.37,95.87,21.84,,176.84
125.96,823.9575,99.64,42.38,,92.355,95.9,,,177.01
125.96,823.76,99.66,42.41,153.4999,92.39,95.9,21.835,22.7,177.04
125.97,823.96,99.65,42.39,,92.39,95.91,,,177.04
125.97,,,42.39,153.53,92.41,95.938,,22.705,176.97999999999996
125.97,823.5939999999999,99.645,42.39,153.5299,92.35,95.88,21.86,22.72,176.97999999999996
125.98,823.7731999999999,99.69,42.4,153.56,92.31,95.9,,22.73,177.03
126.0,823.68,99.725,42.4,153.56,92.35,95.88,21.86,22.74,177.035
126.025,823.83,,42.42,153.645,92.39,95.89,21.87,,
126.03,823.7999999999998,99.79,42.42,153.65,92.36000000000003,95.92,21.87,22.74,177.065
126.05,824.01,99.825,42.43,153.65,92.43,95.93,21.85,22.74,176.97
,824.0802999999999,99.83,42.44,153.69999999999996,92.42,95.93,,22.74,176.94999999999996
126.03,823.88,99.9,,153.61,,95.89,21.86,22.74,177.05
126.09,823.81,99.91,42.44,153.61,92.47,95.91,21.88,22.785,177.04
,824.06,99.93,42.435,,92.42,95.914,,22.79,
,823.9199,99.9,42.43,,92.41,95.94,,22.78,177.06
126.16,824.01,99.9,42.4399,153.65,92.46,95.96,21.9,22.78,177.12
126.205,824.62,99.91,42.46,153.785,92.56,96.01,21.89,22.79,177.08
126.17,824.73,99.88,42.46,153.835,92.51,96.03,21.92,22.8,
,824.69,99.88,42.46,,92.48,,21.92,22.79,177.05
126.15,824.02,,42.43,153.74,92.46,95.98,21.92,,177.0
126.1,824.4479999999999,99.86000000000003,42.42,153.7599,92.44,95.9979,,22.77,177.0
,824.11,99.92,42.42,153.81989999999996,92.44,96.0,,,176.97999999999996
126.08,824.3101,99.86000000000003,42.42,153.7575,92.43,96.03,,22.77,176.96
126.05,824.4556,,42.42,153.72999999999996,92.41,,,22.78,176.93
,824.2799999999999,99.8625,42.42,,92.41,,,,176.85
126.0325,824.5,99.86000000000003,42.42,153.81,92.43,96.04,21.93,,176.89
126.07,824.94,99.87,42.46,153.9,92.47,96.08,21.95,22.79,176.86
126.11000000000003,825.07,99.9156,42.46,154.0,92.5,96.07,21.9565,22.83,177.04249999999996
126.14,825.51,99.92,42.46,154.05,92.46,96.1,,22.83,177.0
126.1132,825.76,99.94,42.48,154.08,92.48,96.12,22.0,22.84,
126.06,825.6,,42.47,154.1199,92.52,96.13,22.01,22.85,
,825.5,99.96,42.48,154.12,92.49,96.14,22.02,,177.19
,825.34,99.95,42.47,154.15,92.4759,96.13,22.02,22.86,177.19999999999996
,825.37,99.97,42.4775,154.17,92.45,96.17,,,177.145
126.14,825.49,99.9,42.48,154.17,92.51,96.149,22.0,22.84,177.11
126.19,825.5299999999999,99.9,42.462,154.06,92.53,96.16,22.0,22.81,177.06
126.16,825.635,99.87,42.47,154.15,92.505,96.17,,,177.14
,825.85,99.93,42.48,154.19,92.5309,96.15,21.98,22.79,177.13
126.2,825.945,99.94,42.49,154.19999999999996,92.6,96.15,21.99,22.8,177.19999999999996
126.2,825.81,99.91,42.49,,92.55,96.12,21.99,,
126.15,825.73,99.87,42.46,,92.58,96.12,21.99,22.8,177.19
126.2,825.875,99.93,42.47,154.13,92.58,96.13,,22.805,177.27
126.22,825.84,99.91,42.5,154.19999999999996,92.69,96.13,22.04,22.87,177.3
,825.61,,42.49,154.24,92.69,96.14040000000003,22.04,22.84,177.35
,825.45,99.92,42.49,154.1825,92.71,96.16,,22.83,177.21
126.16,825.39,99.91,42.485,154.12,92.65,96.14,,,177.17
126.2,824.82,99.93,42.48,154.11,92.64,96.12,,,
126.15,825.0,99.93,42.49,154.17,92.59,,22.02,22.815,177.03
126.15,824.83,99.89,42.49,154.12,92.53,96.15,22.0,22.79,177.15
126.14,824.51,99.84,42.48,154.06,92.53,96.13,22.0,,177.11
126.15,824.6510000000002,99.84,42.49,,92.525,96.1,,22.8,177.07
,825.065,99.85,42.5,154.08,92.53,96.12,,22.8,177.06
126.14,824.7899999999998,,42.5,154.09,92.48,96.09,22.0,22.8,
126.1477,824.62,99.85,42.51,154.03,92.51,96.085,21.98,22.77,177.06
126.23,824.7405,99.82,42.515,154.0868,92.54,96.09,21.98,22.77,177.12
126.27,824.7999999999998,99.8,42.53,154.1,92.56890000000003,,21.99,22.76,177.15
126.3,825.1019999999999,99.82,42.54,154.19999999999996,92.54,96.14,22.03,22.85,177.15
126.31,824.965,99.805,42.53,154.15,92.54,96.09,22.0,22.815,177.05
126.26,824.82,99.81,42.52,154.1477,92.4601,96.08,,,177.0
126.29,825.2799999999999,99.8,42.53,154.185,,96.11000000000003,22.01,22.81,176.97
126.32,825.5153,99.82,42.54,154.2075,92.56,96.11000000000003,22.0,,177.04
126.32,825.31,,42.55,154.18,92.6,96.09,,22.815,176.96
126.35,825.5499999999998,99.81,42.555,154.25,92.63,96.11000000000003,,22.82,176.9501
126.36000000000003,825.36,99.81,42.55,154.38,92.59,96.1,,22.82,
126.35,825.14,99.79,42.55,154.32499999999996,92.62,96.08,21.99,22.81,176.94
126.29,824.9532,99.8,42.55,154.3,92.64,96.08,21.99,22.79,176.99
,825.0,99.79,42.54,154.36,92.605,96.07,21.985,22.78,176.87
,825.01,99.8,42.53,154.3699,92.62,96.07,21.98,22.78,177.1
126.28,825.0879,99.82,42.54,154.38,92.625,96.084,21.94,22.79,177.19999999999996
126.28,824.93,99.83,42.54,154.38,92.6,96.08,21.92,,177.21
,824.59,99.81,42.53,154.3865,92.625,96.06,,,177.15
126.3,824.4199999999998,99.75,42.52,154.29,92.7,96.07,21.92,22.77,177.15
,824.365,99.78680000000003,42.51,154.21,92.65,96.04,21.91,,177.21
126.26,824.24,99.79,42.5,154.22999999999996,92.645,96.04,21.91,22.77,177.19999999999996
126.32,824.31,99.76,42.5,154.16,92.7,96.0301,21.9,22.77,
126.32,824.2899999999998,99.75,42.48,,92.63,96.0,21.9,22.775,177.24
126.31,824.1352,99.71,42.48,154.155,92.56,95.98,21.9,22.77,177.15
126.31,824.1303,99.7,42.48,154.19,92.6899,95.995,21.9,22.775,
126.32,824.34,99.72,42.47,154.22,92.65,95.9931,21.91,22.775,177.19999999999996
126.31,824.1,99.72,42.49,154.18,92.67,96.01,21.89,,177.19
126.34,824.23,99.75,42.51,154.25,92.68,96.01,21.92,22.78,
126.35,824.25,99.731,42.51,154.2125,92.66,95.99,21.91,22.77,
126.41,824.4099999999999,99.75,42.53,154.26,92.7,96.01,21.91,22.75,177.26
126.37,824.06,99.74,42.52,,92.64,95.99,21.91,22.74,177.19
126.34,824.1499999999999,99.73,42.53,154.19999999999996,92.6257,,21.91,22.74,
126.33,823.72,99.66,42.52,154.13,92.65,95.98,,,177.14
,823.6,99.69,42.52,,92.635,95.98,,22.75,177.19
126.28,823.32,99.7,42.51,154.1,92.62,95.98,,22.74,177.25
126.3086,823.6599999999999,99.73,42.51,154.16,92.6208,95.98,,22.73,177.2425
126.34,823.69,99.74,42.53,154.22999999999996,92.67,95.99,21.925,22.76,177.39
126.33,823.76,99.75,42.525,154.22,92.635,95.97,,22.75,177.44999999999996
,823.75,99.7,42.53,154.225,92.59,95.94,21.93,22.75,177.4268
126.23,823.52,99.7,42.51,154.1,92.56,95.89,21.93,22.75,177.405
126.2,823.1649999999998,99.65,42.5,154.07,92.5,95.91,,22.75,177.405
126.17,823.0,99.67,42.49,154.07,92.5,95.89,21.94,22.745,177.37
126.16,823.02,99.67,42.49,154.08,92.5,95.89,21.93,22.74,177.38
126.11000000000003,822.84,99.655,42.48,154.03,92.5,95.855,,22.745,177.41
126.09,822.73,99.665,42.46,153.97999999999996,92.52,95.78,21.935,22.73,177.37
126.1,822.81,99.66,42.46,153.97999999999996,92.545,95.77,21.935,22.745,177.34
126.12,823.02,99.65,42.455,154.0,92.56,95.77,21.94,22.74,177.35
126.18,823.0499999999998,99.63,42.455,154.0075,92.55,95.78,21.935,22.745,177.375
126.2,822.96,99.65,42.46,153.9437,92.52,95.76,,22.73,177.37
