"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2023","463.25","473.50","473.50","462.75","0.17K","-1.70%"
"09/11/2023","471.25","470.25","471.50","468.00","0.43K","0.59%"
"09/08/2023","468.50","471.25","472.25","467.00","0.23K","-0.48%"
"09/07/2023","470.75","471.25","474.00","468.50","0.74K","-0.16%"
"09/06/2023","471.50","473.50","476.25","471.25","0.84K","0.11%"
"09/05/2023","471.00","466.00","473.75","462.50","1.55K","1.34%"
"09/01/2023","464.75","461.00","468.25","460.25","3.31K","0.81%"
"08/31/2023","461.00","461.75","468.00","459.00","12.07K","-0.16%"
"08/30/2023","461.75","469.00","474.75","460.25","74.61K","-1.65%"
"08/29/2023","469.50","476.50","483.00","468.50","98.80K","-1.88%"
"08/28/2023","478.50","476.25","480.00","472.25","87.58K","1.65%"
"08/25/2023","470.75","471.25","477.00","469.00","84.41K","-0.32%"
"08/24/2023","472.25","476.25","480.50","468.50","85.16K","-0.84%"
"08/23/2023","476.25","467.00","478.25","465.50","84.52K","2.09%"
"08/22/2023","466.50","469.25","472.50","461.00","72.98K","-0.59%"
"08/21/2023","469.25","486.00","493.00","468.00","74.71K","-2.14%"
"08/18/2023","479.50","473.75","482.50","472.50","66.48K","1.37%"
"08/17/2023","473.00","470.00","475.00","464.75","69.17K","0.75%"
"08/16/2023","469.50","463.00","473.00","462.00","70.84K","1.19%"
"08/15/2023","464.00","474.00","474.00","462.00","89.97K","-2.47%"
"08/14/2023","475.75","476.25","479.75","468.75","73.61K","0.26%"
"08/11/2023","474.50","483.00","494.75","470.50","174.43K","-1.81%"
"08/10/2023","483.25","481.50","485.50","480.00","93.32K","0.47%"
"08/09/2023","481.00","485.75","490.00","479.00","120.22K","-0.98%"
"08/08/2023","485.75","482.00","488.75","477.25","124.55K","0.73%"
"08/07/2023","482.25","484.75","488.50","476.00","164.88K","-0.41%"
"08/04/2023","484.25","482.50","493.50","480.25","96.91K","0.73%"
"08/03/2023","480.75","486.25","489.75","480.25","101.38K","-1.54%"
"08/02/2023","488.25","497.25","512.25","485.75","158.41K","-1.76%"
"08/01/2023","497.00","504.00","508.00","496.50","116.23K","-1.39%"
"07/31/2023","504.00","516.25","516.25","498.50","111.16K","-3.26%"
"07/28/2023","521.00","533.00","538.50","516.75","90.55K","-2.30%"
"07/27/2023","533.25","540.25","547.00","532.25","95.91K","-1.30%"
"07/26/2023","540.25","557.00","557.25","536.75","106.98K","-3.09%"
"07/25/2023","557.50","559.75","563.75","545.50","104.80K","-0.54%"
"07/24/2023","560.50","534.00","564.50","531.50","115.44K","6.36%"
"07/21/2023","527.00","536.50","538.75","522.50","121.03K","-1.91%"
"07/20/2023","537.25","545.00","554.50","533.00","123.96K","-1.51%"
"07/19/2023","545.50","526.75","557.50","525.75","193.39K","3.17%"
"07/18/2023","528.75","497.75","534.75","495.25","132.50K","5.91%"
"07/17/2023","499.25","512.00","519.75","496.25","87.97K","-16.76%"
"07/14/2023","599.75","609.75","614.75","604.75","0.08K","1.05%"
"07/13/2023","593.50","547.50","593.75","547.50","0.13K","7.96%"
"07/12/2023","549.75","573.00","574.50","547.25","0.71K","-3.85%"
"07/11/2023","571.75","567.50","585.50","567.50","0.79K","0.18%"
"07/10/2023","570.75","561.00","572.00","561.00","0.52K","1.83%"
"07/07/2023","560.50","567.00","571.75","560.00","1.32K","-1.10%"
"07/06/2023","566.75","547.25","569.25","547.25","1.41K","3.37%"
"07/05/2023","548.25","558.00","564.25","545.50","1.92K","-1.62%"
"07/03/2023","557.25","558.50","568.25","553.25","1.61K","0.50%"
"06/30/2023","554.50","585.00","595.00","552.00","6.46K","-4.56%"
"06/29/2023","581.00","591.75","603.50","574.00","42.59K","-1.53%"
"06/28/2023","590.00","625.00","630.75","582.00","89.62K","-5.30%"
"06/27/2023","623.00","643.00","644.50","622.25","93.04K","-2.24%"
"06/26/2023","637.25","634.50","649.75","621.00","117.53K","1.03%"
"06/23/2023","630.75","655.75","657.50","629.00","142.97K","-4.50%"
"06/22/2023","660.50","668.25","670.25","653.00","117.76K","-1.56%"
"06/21/2023","671.00","650.00","672.50","647.25","150.76K","4.23%"
"06/20/2023","643.75","640.75","647.00","635.50","151.99K","0.55%"
"06/16/2023","640.25","623.00","641.00","622.25","223.69K","2.73%"
"06/15/2023","623.25","608.00","626.50","607.25","194.03K","2.55%"
"06/14/2023","607.75","610.25","618.75","601.50","187.54K","-0.78%"
"06/13/2023","612.50","617.00","625.00","610.75","202.99K","-0.77%"
"06/12/2023","617.25","609.00","623.75","608.75","208.16K","2.15%"
"06/09/2023","604.25","608.25","609.00","597.50","174.69K","-0.98%"
"06/08/2023","610.25","600.00","613.25","595.25","178.77K","0.99%"
"06/07/2023","604.25","605.00","612.50","601.75","174.30K","-0.62%"
"06/06/2023","608.00","599.75","610.75","599.75","185.93K","1.76%"
"06/05/2023","597.50","609.00","614.00","595.00","168.38K","-1.89%"
"06/02/2023","609.00","592.50","610.50","581.25","199.86K","2.78%"
"06/01/2023","592.50","594.00","606.00","591.75","153.59K","-0.25%"
"05/31/2023","594.00","594.25","594.75","577.50","170.16K","0.00%"
"05/30/2023","594.00","603.75","605.00","591.50","176.21K","-1.66%"
"05/26/2023","604.00","590.25","606.75","588.25","178.64K","2.24%"
"05/25/2023","590.75","587.50","593.00","583.50","145.55K","0.60%"
"05/24/2023","587.25","577.00","589.75","574.00","152.82K","1.69%"
"05/23/2023","577.50","570.25","580.75","564.00","133.38K","1.14%"
"05/22/2023","571.00","554.75","575.50","553.25","148.54K","2.98%"
"05/19/2023","554.50","555.00","571.75","551.50","183.02K","-0.14%"
"05/18/2023","555.25","561.25","561.75","547.00","181.02K","-1.11%"
"05/17/2023","561.50","581.75","582.75","554.25","265.00K","-3.40%"
"05/16/2023","581.25","592.00","593.00","578.25","133.85K","-1.90%"
"05/15/2023","592.50","581.50","598.75","581.50","164.17K","-6.44%"
"05/12/2023","633.25","634.75","638.75","623.50","0.24K","0.12%"
"05/11/2023","632.50","641.75","648.00","632.00","0.99K","-2.01%"
"05/10/2023","645.50","642.00","649.75","637.25","1.07K","0.51%"
"05/09/2023","642.25","654.75","654.75","639.50","1.59K","-2.17%"
"05/08/2023","656.50","652.75","658.50","651.50","0.68K","0.50%"
"05/05/2023","653.25","644.00","656.25","644.00","1.22K","1.04%"
"05/04/2023","646.50","642.25","649.50","637.50","2.27K","0.19%"
"05/03/2023","645.25","636.50","646.00","626.50","2.08K","1.14%"
"05/02/2023","638.00","641.75","652.00","635.50","5.51K","-0.23%"
"05/01/2023","639.50","632.50","641.00","628.00","2.75K","0.55%"
"04/28/2023","636.00","628.25","639.00","622.00","13.72K","1.44%"
"04/27/2023","627.00","642.00","644.25","621.75","59.71K","-2.26%"
"04/26/2023","641.50","648.00","652.25","641.00","65.29K","-0.77%"
"04/25/2023","646.50","651.25","653.00","641.50","100.63K","-0.73%"
"04/24/2023","651.25","663.25","667.50","648.50","134.98K","-1.81%"
"04/21/2023","663.25","664.25","665.50","656.50","127.47K","-0.08%"
"04/20/2023","663.75","672.00","674.00","661.50","120.92K","-1.26%"
"04/19/2023","672.25","675.75","680.00","671.00","114.51K","-0.77%"
"04/18/2023","677.50","676.00","682.50","669.75","130.89K","0.15%"
"04/17/2023","676.50","666.00","677.00","662.25","146.90K","1.54%"
"04/14/2023","666.25","653.75","668.00","651.00","154.00K","2.15%"
"04/13/2023","652.25","656.00","661.75","651.50","147.15K","-0.57%"
"04/12/2023","656.00","651.00","658.50","648.75","150.11K","0.77%"
"04/11/2023","651.00","653.50","657.75","646.75","200.26K","-0.46%"
"04/10/2023","654.00","644.50","655.00","640.25","150.10K","1.63%"
"04/07/2023","643.50","643.50","643.50","643.50","","0.00%"
"04/06/2023","643.50","652.25","652.50","641.75","132.98K","-1.42%"
"04/05/2023","652.75","653.75","660.00","646.50","143.56K","-0.15%"
"04/04/2023","653.75","657.00","657.50","648.50","140.10K","-0.61%"
"04/03/2023","657.75","659.50","668.50","656.00","153.87K","-0.42%"
"03/31/2023","660.50","648.75","664.50","647.25","201.89K","1.69%"
"03/30/2023","649.50","649.75","654.75","648.00","119.49K","-0.15%"
"03/29/2023","650.50","646.25","655.50","645.75","156.69K","0.50%"
"03/28/2023","647.25","646.75","651.25","644.50","135.24K","-0.15%"
"03/27/2023","648.25","643.00","648.75","637.00","145.57K","0.82%"
"03/24/2023","643.00","631.00","645.00","627.50","191.26K","1.78%"
"03/23/2023","631.75","633.00","644.00","627.25","186.44K","-0.28%"
"03/22/2023","633.50","631.25","636.00","623.25","154.75K","0.56%"
"03/21/2023","630.00","632.75","638.25","628.75","133.31K","-0.47%"
"03/20/2023","633.00","633.00","634.00","625.00","115.79K","-0.20%"
"03/17/2023","634.25","633.25","638.75","630.25","141.48K","0.24%"
"03/16/2023","632.75","626.00","635.00","624.75","167.31K","1.00%"
"03/15/2023","626.50","623.75","629.00","619.25","156.41K","-0.16%"
"03/14/2023","627.50","624.00","627.50","624.00","0.12K","0.48%"
"03/13/2023","624.50","622.25","629.00","622.25","0.54K","0.04%"
"03/10/2023","624.25","620.00","626.75","618.50","0.54K","2.09%"
"03/09/2023","611.50","625.50","629.75","610.25","223.65K","-2.24%"
"03/08/2023","625.50","635.00","637.50","624.50","161.08K","-1.38%"
"03/07/2023","634.25","637.50","638.75","633.25","101.17K","-0.43%"
"03/06/2023","637.00","639.00","640.25","634.00","110.48K","-1.28%"
"03/03/2023","645.25","639.75","648.25","638.25","1.04K","1.18%"
"03/02/2023","637.75","641.00","647.25","636.00","1.87K","-0.43%"
"03/01/2023","640.50","630.00","641.50","623.50","5.43K","1.75%"
"02/28/2023","629.50","642.00","644.75","629.25","15.55K","-2.06%"
"02/27/2023","642.75","650.75","654.00","642.25","105.66K","-1.00%"
"02/24/2023","649.25","660.00","662.00","649.00","265.19K","-1.52%"
"02/23/2023","659.25","674.75","676.00","657.50","267.75K","-2.22%"
"02/22/2023","674.25","679.75","681.00","674.00","125.72K","-0.92%"
"02/21/2023","680.50","678.50","683.00","675.50","156.08K","0.41%"
"02/17/2023","677.75","676.00","679.00","675.00","144.08K","0.26%"
"02/16/2023","676.00","676.50","677.25","673.25","134.97K","-0.04%"
"02/15/2023","676.25","682.00","682.50","675.50","116.55K","-0.88%"
"02/14/2023","682.25","684.00","688.25","681.75","137.23K","-0.40%"
"02/13/2023","685.00","680.00","686.50","676.75","193.01K","0.66%"
"02/10/2023","680.50","670.75","682.75","669.25","226.65K","1.45%"
"02/09/2023","670.75","678.25","681.00","670.25","214.28K","-1.14%"
"02/08/2023","678.50","673.75","679.50","672.75","223.79K","0.67%"
"02/07/2023","674.00","677.00","678.50","673.50","149.45K","-0.74%"
"02/06/2023","679.00","677.25","679.25","672.25","123.61K","0.22%"
"02/03/2023","677.50","674.25","680.00","671.50","124.85K","0.33%"
"02/02/2023","675.25","681.00","686.00","674.25","149.91K","-0.84%"
"02/01/2023","681.00","679.25","682.00","672.75","144.37K","0.18%"
"01/31/2023","679.75","683.50","688.50","678.00","161.23K","-0.59%"
"01/30/2023","683.75","685.00","687.25","678.50","127.94K","0.11%"
"01/27/2023","683.00","681.75","686.00","678.25","141.24K","0.07%"
"01/26/2023","682.50","674.00","685.50","673.00","146.55K","1.15%"
"01/25/2023","674.75","676.75","681.00","673.75","126.03K","-0.33%"
"01/24/2023","677.00","667.00","677.50","666.25","165.29K","1.61%"
"01/23/2023","666.25","674.00","674.75","661.25","184.77K","-1.48%"
"01/20/2023","676.25","675.50","678.00","672.50","134.98K","-0.15%"
"01/19/2023","677.25","680.00","685.25","676.00","149.96K","-0.59%"
"01/18/2023","681.25","684.25","688.75","678.00","175.37K","-0.58%"
"01/17/2023","685.25","671.50","687.00","668.75","179.92K","1.52%"
"01/13/2023","675.00","670.75","676.75","669.75","158.82K","0.60%"
"01/12/2023","671.00","656.00","673.50","649.25","242.53K","2.29%"
"01/11/2023","656.00","654.50","659.00","652.75","110.88K","0.15%"
"01/10/2023","655.00","651.75","664.00","648.25","181.16K","0.34%"
"01/09/2023","652.75","655.50","657.00","650.75","112.24K","-0.19%"
"01/06/2023","654.00","653.75","659.50","651.75","114.16K","0.19%"
"01/05/2023","652.75","654.50","657.75","648.50","138.83K","-0.15%"
"01/04/2023","653.75","670.75","671.75","652.50","175.76K","-2.50%"
"01/03/2023","670.50","677.25","681.25","668.00","155.54K","-1.18%"
"12/30/2022","678.50","679.50","685.00","676.50","90.32K","-0.15%"
"12/29/2022","679.50","681.75","682.25","677.25","104.94K","-0.48%"
"12/28/2022","682.75","673.25","683.50","672.75","122.19K","1.19%"
"12/27/2022","674.75","669.00","675.75","667.25","123.17K","1.28%"
"12/23/2022","666.25","659.50","667.75","659.25","94.50K","0.87%"
"12/22/2022","660.50","662.00","664.75","658.75","79.92K","-0.26%"
"12/21/2022","662.25","651.50","663.00","651.00","125.59K","1.57%"
"12/20/2022","652.00","647.75","654.25","646.75","91.46K","0.73%"
"12/19/2022","647.25","650.50","650.75","644.00","83.17K","-0.88%"
"12/16/2022","653.00","653.50","655.75","650.00","66.40K","-0.08%"
"12/15/2022","653.50","650.25","654.25","647.75","93.74K","2.27%"
"12/14/2022","639.00","644.25","644.25","639.00","0.04K","-0.74%"
"12/13/2022","643.75","642.50","650.50","639.25","0.18K","0.39%"
"12/12/2022","641.25","634.50","644.50","634.50","0.26K","1.02%"
"12/09/2022","634.75","631.50","639.75","631.50","0.45K","0.44%"
"12/08/2022","632.00","628.00","632.50","626.00","0.43K","0.68%"
"12/07/2022","627.75","626.50","632.50","624.00","0.66K","0.36%"
"12/06/2022","625.50","630.75","635.50","623.00","0.51K","-0.52%"
"12/05/2022","628.75","635.50","638.25","625.50","0.76K","-0.98%"
"12/02/2022","635.00","650.25","650.25","629.00","5.68K","-2.31%"
"12/01/2022","650.00","661.75","663.75","647.00","8.57K","-1.81%"
"11/30/2022","662.00","665.75","667.00","660.00","18.20K","-0.56%"
"11/29/2022","665.75","667.50","671.25","665.25","110.38K","-0.45%"
"11/28/2022","668.75","665.00","670.00","661.00","149.23K","0.11%"
"11/25/2022","668.00","661.25","669.75","661.00","71.24K","0.72%"
"11/23/2022","663.25","657.75","663.75","655.75","104.57K","0.99%"
"11/22/2022","656.75","659.50","663.00","656.25","107.55K","-0.42%"
"11/21/2022","659.50","666.50","666.75","657.25","143.72K","-1.24%"
"11/18/2022","667.75","667.50","672.75","665.25","131.28K","0.04%"
"11/17/2022","667.50","665.00","668.25","654.75","138.56K","0.34%"
"11/16/2022","665.25","665.25","666.00","657.50","121.44K","-0.22%"
"11/15/2022","666.75","657.00","675.00","651.25","234.10K","1.45%"
"11/14/2022","657.25","657.00","662.00","652.25","181.57K","-0.11%"
"11/11/2022","658.00","653.75","661.00","653.50","233.36K","0.73%"
"11/10/2022","653.25","664.50","667.25","652.75","229.08K","-1.69%"
"11/09/2022","664.50","667.00","671.75","658.00","246.97K","-0.45%"
"11/08/2022","667.50","675.75","677.00","666.25","227.16K","-1.22%"
"11/07/2022","675.75","679.00","680.75","675.25","162.56K","-0.77%"
"11/04/2022","681.00","679.25","685.25","678.50","112.56K","0.26%"
"11/03/2022","679.25","686.00","686.50","678.50","123.35K","-1.20%"
"11/02/2022","687.50","696.50","697.25","680.00","168.33K","-1.47%"
"11/01/2022","697.75","689.00","698.50","687.25","146.47K","0.90%"
"10/31/2022","691.50","696.50","700.00","684.25","226.70K","1.58%"
"10/28/2022","680.75","681.25","683.75","676.25","115.07K","-0.22%"
"10/27/2022","682.25","685.00","689.25","679.25","112.30K","-0.40%"
"10/26/2022","685.00","684.25","689.75","683.25","106.23K","-0.18%"
"10/25/2022","686.25","681.50","687.50","677.75","116.66K","0.70%"
"10/24/2022","681.50","682.25","686.50","677.25","119.46K","-0.40%"
"10/21/2022","684.25","683.50","688.00","677.75","109.02K","0.04%"
"10/20/2022","684.00","678.00","687.00","676.75","134.82K","0.85%"
"10/19/2022","678.25","681.00","684.50","674.00","112.23K","-0.40%"
"10/18/2022","681.00","683.00","683.75","674.50","147.46K","-0.37%"
"10/17/2022","683.50","689.00","692.25","681.25","106.16K","-0.91%"
"10/14/2022","689.75","697.00","699.50","688.50","108.82K","-1.15%"
"10/13/2022","697.75","692.25","699.50","684.00","167.24K","0.69%"
"10/12/2022","693.00","693.25","700.00","680.00","180.21K","0.00%"
"10/11/2022","693.00","697.00","702.00","690.75","140.43K","-0.75%"
"10/10/2022","698.25","683.75","706.50","683.50","201.82K","2.20%"
"10/07/2022","683.25","675.50","684.50","671.50","113.58K","1.15%"
"10/06/2022","675.50","683.75","685.75","672.00","128.78K","-1.24%"
"10/05/2022","684.00","683.00","687.50","675.75","114.32K","0.15%"
"10/04/2022","683.00","680.75","691.50","676.50","119.21K","0.33%"
"10/03/2022","680.75","680.00","687.50","672.50","132.39K","0.48%"
"09/30/2022","677.50","669.50","696.25","669.25","253.85K","1.19%"
"09/29/2022","669.50","670.50","676.75","666.00","139.45K","-0.15%"
"09/28/2022","670.50","668.25","673.25","661.50","137.43K","0.45%"
"09/27/2022","667.50","666.25","678.00","666.25","163.17K","0.19%"
"09/26/2022","666.25","673.25","679.00","665.50","140.73K","-1.55%"
"09/23/2022","676.75","687.00","688.00","669.50","154.39K","-1.67%"
"09/22/2022","688.25","683.50","691.00","681.50","97.07K","0.40%"
"09/21/2022","685.50","692.00","698.50","679.25","127.22K","-0.94%"
"09/20/2022","692.00","677.75","693.50","677.50","123.23K","2.03%"
"09/19/2022","678.25","675.75","680.00","668.25","96.69K","0.15%"
"09/16/2022","677.25","676.25","680.50","667.50","121.33K","-0.04%"
"09/15/2022","677.50","681.75","690.00","676.25","111.79K","-4.44%"
"09/14/2022","709.00","690.75","692.75","681.50","0.15K","0.00%"
"09/13/2022","709.00","721.25","725.00","710.00","0.61K","-0.46%"
"09/12/2022","712.25","690.25","721.50","689.00","1.33K","1.97%"
"09/09/2022","698.50","678.75","700.50","678.75","1.44K","4.49%"
"09/08/2022","668.50","671.00","675.25","659.00","","-1.22%"
"09/07/2022","676.75","678.50","690.00","675.25","1.27K","-0.59%"
"09/06/2022","680.75","670.75","682.00","667.50","1.29K","2.00%"
"09/05/2022","667.38","667.38","667.38","667.38","","-0.24%"
"09/02/2022","669.00","657.00","671.00","656.75","2.14K","1.63%"
"09/01/2022","658.25","671.00","673.75","655.00","9.01K","-2.30%"
"08/31/2022","673.75","680.75","683.00","664.25","7.83K","-0.88%"
"08/30/2022","679.75","681.25","682.75","671.25","48.46K","-0.59%"
"08/29/2022","683.75","675.00","684.25","668.50","86.64K","2.24%"
"08/26/2022","668.75","657.00","671.00","654.75","75.54K","1.71%"
"08/25/2022","657.50","665.00","674.25","656.75","78.32K","-1.24%"
"08/24/2022","665.75","659.75","675.50","655.75","76.02K","0.87%"
"08/23/2022","660.00","637.00","666.75","635.75","95.35K","4.18%"
"08/22/2022","633.50","622.75","635.25","618.00","67.38K","1.20%"
"08/19/2022","626.00","619.00","627.75","616.00","51.22K","1.01%"
"08/18/2022","619.75","615.00","624.00","608.25","52.15K","0.77%"
"08/17/2022","615.00","611.00","618.50","608.00","49.24K","0.65%"
"08/16/2022","611.00","624.00","628.25","608.00","67.19K","-2.51%"
"08/15/2022","626.75","630.50","635.25","616.50","56.71K","-2.03%"
"08/12/2022","639.75","629.25","640.50","616.00","98.63K","1.67%"
"08/11/2022","629.25","621.00","630.75","618.75","112.04K","1.29%"
"08/10/2022","621.25","615.00","632.50","613.00","134.33K","0.93%"
"08/09/2022","615.50","614.50","626.00","613.50","142.24K","1.15%"
"08/08/2022","608.50","603.00","616.00","601.75","155.07K","-0.29%"
"08/05/2022","610.25","602.00","614.00","597.00","125.02K","1.33%"
"08/04/2022","602.25","591.50","607.00","585.75","83.78K","1.82%"
"08/03/2022","591.50","587.00","597.00","583.00","101.91K","0.04%"
"08/02/2022","591.25","604.00","605.25","589.25","107.01K","-2.59%"
"08/01/2022","607.00","619.75","621.50","594.25","91.87K","-1.50%"
"07/29/2022","616.25","615.00","632.00","611.50","99.16K","0.20%"
"07/28/2022","615.00","603.75","618.00","601.25","72.68K","2.46%"
"07/27/2022","600.25","597.00","604.25","591.75","80.96K","0.54%"
"07/26/2022","597.00","587.75","599.75","586.25","95.70K","2.93%"
"07/25/2022","580.00","574.25","580.75","566.25","103.45K","2.79%"
"07/22/2022","564.25","575.00","582.75","561.50","95.96K","-2.00%"
"07/21/2022","575.75","592.75","593.50","572.75","76.76K","-2.79%"
"07/20/2022","592.25","595.50","600.50","589.00","76.18K","-0.75%"
"07/19/2022","596.75","610.50","611.00","585.75","94.16K","-2.53%"
"07/18/2022","612.25","610.75","623.50","601.50","75.98K","1.32%"
"07/15/2022","604.25","606.75","612.00","596.00","81.57K","-13.06%"
"07/14/2022","695.00","738.25","746.50","694.00","0.03K","-6.08%"
"07/13/2022","740.00","726.00","756.50","725.00","0.49K","0.99%"
"07/12/2022","732.75","781.00","785.25","732.00","1.32K","-6.21%"
"07/11/2022","781.25","783.25","800.00","780.75","1.34K","0.39%"
"07/08/2022","778.25","750.75","781.00","744.00","","4.18%"
"07/07/2022","747.00","749.50","763.50","740.00","0.78K","0.37%"
"07/06/2022","744.25","746.00","761.00","726.00","2.70K","1.12%"
"07/05/2022","736.00","750.25","765.00","726.00","3.78K","-2.45%"
"07/01/2022","754.50","748.00","760.00","743.75","5.49K","1.45%"
"06/30/2022","743.75","770.00","775.25","742.25","14.48K","-3.44%"
"06/29/2022","770.25","758.25","780.00","755.50","63.70K","1.42%"
"06/28/2022","759.50","747.50","762.75","744.25","86.04K","2.05%"
"06/27/2022","744.25","740.00","746.25","731.00","121.83K","-0.80%"
"06/24/2022","750.25","745.00","762.25","735.00","155.99K","0.47%"
"06/23/2022","746.75","767.25","767.25","734.50","215.84K","-2.77%"
"06/22/2022","768.00","762.00","770.50","754.50","167.78K","0.95%"
"06/21/2022","760.75","777.50","778.25","752.25","192.14K","-3.03%"
"06/17/2022","784.50","787.50","800.00","782.25","116.06K","-0.48%"
"06/16/2022","788.25","774.00","792.00","773.00","121.54K","1.84%"
"06/15/2022","774.00","767.00","779.75","762.00","105.91K","0.75%"
"06/14/2022","768.25","765.75","771.00","759.00","125.80K","-0.13%"
"06/13/2022","769.25","781.00","782.25","758.50","170.04K","-0.52%"
"06/10/2022","773.25","772.25","781.00","765.75","156.10K","0.03%"
"06/09/2022","773.00","764.50","782.75","758.00","226.33K","1.11%"
"06/08/2022","764.50","757.00","774.00","756.00","223.85K","0.99%"
"06/07/2022","757.00","739.00","765.00","735.00","227.58K","1.95%"
"06/06/2022","742.50","732.25","744.25","731.50","131.92K","2.13%"
"06/03/2022","727.00","730.25","736.00","725.75","105.54K","-0.45%"
"06/02/2022","730.25","731.25","739.25","726.25","127.14K","-0.14%"
"06/01/2022","731.25","753.75","756.25","720.50","210.39K","-2.95%"
"05/31/2022","753.50","777.00","777.25","747.25","175.46K","-2.85%"
"05/30/2022","775.62","776.00","777.12","775.62","","-0.21%"
"05/27/2022","777.25","765.00","780.50","761.00","101.09K","1.60%"
"05/26/2022","765.00","762.75","772.50","757.50","104.92K","-0.94%"
"05/25/2022","772.25","770.00","773.00","755.00","127.43K","0.06%"
"05/24/2022","771.75","785.00","787.00","762.00","147.02K","-1.84%"
"05/23/2022","786.25","780.25","788.00","774.50","88.36K","0.96%"
"05/20/2022","778.75","781.25","782.00","774.50","88.00K","-0.57%"
"05/19/2022","783.25","782.00","789.75","773.25","106.42K","0.22%"
"05/18/2022","781.50","800.75","802.25","778.00","120.12K","-2.40%"
"05/17/2022","800.75","808.00","809.25","797.25","98.32K","-1.08%"
"05/16/2022","809.50","795.00","810.25","792.75","138.86K","1.89%"
"05/13/2022","794.50","808.00","808.00","808.00","0.03K","-2.34%"
"05/12/2022","813.50","802.50","814.00","798.75","0.91K","1.40%"
"05/11/2022","802.25","788.00","802.75","788.00","0.65K","2.00%"
"05/10/2022","786.50","787.50","790.75","782.50","0.60K","0.25%"
"05/09/2022","784.50","792.25","792.25","782.00","0.75K","-0.98%"
"05/06/2022","792.25","800.00","800.00","784.25","1.25K","-1.43%"
"05/05/2022","803.75","799.75","804.75","796.00","0.41K","0.66%"
"05/04/2022","798.50","801.00","808.75","796.00","1.27K","-0.28%"
"05/03/2022","800.75","817.50","822.00","799.75","2.21K","-1.51%"
"05/02/2022","813.00","811.50","814.00","798.00","2.85K","-0.64%"
"04/29/2022","818.25","816.25","827.00","814.00","11.14K","0.28%"
"04/28/2022","816.00","816.25","823.50","811.00","47.63K","0.06%"
"04/27/2022","815.50","802.75","820.25","797.50","70.67K","1.53%"
"04/26/2022","803.25","800.25","812.25","795.00","85.31K","0.37%"
"04/25/2022","800.25","796.75","802.00","784.75","114.12K","0.91%"
"04/22/2022","793.00","798.75","807.50","783.50","140.80K","-0.78%"
"04/21/2022","799.25","814.00","814.25","797.50","111.00K","-2.02%"
"04/20/2022","815.75","803.50","816.50","796.75","128.91K","1.46%"
"04/19/2022","804.00","813.25","819.75","799.75","133.53K","-1.14%"
"04/18/2022","813.25","791.00","816.75","790.25","114.98K","2.81%"
"04/15/2022","791.00","791.00","791.00","791.00","","0.09%"
"04/14/2022","790.25","783.50","793.00","781.00","108.88K","0.86%"
